"work_id","work_licentiate_id"
11874,297
12729,297
13461,"509,297"
13578,"47,48,49,50"
14685,297
15000,"494,516,518,519"
15509,297
15789,"494,495"
15847,490
16020,297
16056,"166,167,168,297"
15456,297
16174,"209,210,297"
14956,297
17108,334
17130,297
16957,"47,297"
17347,297
17528,297
17909,297
18574,297
18647,297
18623,297
18984,297
19238,297
19399,297
19460,297
19363,"27,28,40,41,47,48,49,50,297"
12231,368
19807,494
19813,297
19905,297
12976,297
13157,358
13536,297
13511,"297,301,542,1182,1184"
13677,297
16315,334
20737,297
14806,"490,541"
14707,"297,1184"
15699,297
21392,297
20900,297
21379,297
15715,297
21798,297
21987,386
22048,297
16190,297
13338,297
12183,"297,1184"
14022,297
12974,"384,385,386"
13745,385
14125,297
14348,297
14782,297
22016,297
18055,297
22170,297
22124,"334,28,32,33,40,41,70,297"
16905,297
14114,41
22820,517
22631,297
12092,"357,358"
12585,297
14902,297
15292,297
15396,297
10702,364
14311,297
14732,490
14678,"1184,509"
17443,297
17662,297
13424,210
15756,297
23249,297
23368,"386,297,334"
13049,297
13255,297
13695,297
17907,297
16110,"297,303"
16435,297
16547,297
12532,297
14037,297
14270,297
14319,"334,297"
16176,297
16309,297
16298,490
23892,297
23731,297
13954,297
14162,297
16304,297
14704,297
17287,297
15136,360
15604,297
11735,"326,327,328,329,333,334,343,344,345,349,379"
14837,297
14886,28
12611,"392,393,394,395,400"
13718,297
12011,"297,511"
11705,"326,327"
16699,297
14682,192
17456,"297,28"
16177,297
13514,297
16413,297
18731,368
18642,297
18740,"28,297"
15488,297
15050,297
14864,297
15045,522
17860,297
11564,"166,167,168"
12448,"326,327,328,329,330,334"
11163,490
13050,297
13724,297
17081,"41,297"
16763,297
16117,297
16458,509
24810,297
11589,297
12535,297
19231,494
12713,490
14924,297
13038,297
13089,363
13517,"40,41,47,48"
13404,"359,360"
13804,362
12268,421
12306,297
15218,385
15631,297
12653,297
13002,297
15429,297
17897,297
18046,"40,41,297"
25050,360
24829,297
25187,519
16357,297
17054,297
16135,297
16795,297
16996,"297,1,2"
19268,297
19489,297
19989,334
14894,297
15145,297
15209,30
12955,"297,1184"
13126,297
13930,297
12408,297
14466,491
14884,"302,316"
13255,297
13445,297
13561,301
12493,297
15799,297
16144,"297,27,28"
10190,544
11770,297
17617,494
25685,297
13149,297
13228,297
19851,303
14705,297
18862,"297,298"
18881,297
17488,301
17344,519
17538,"6,7,297"
17133,"27,28,30,31,32,33,34,35,37,38,39,40,41,42,43,189,190,191"
17309,297
15530,297
16175,297
16250,297
11675,490
13117,297
13192,"384,385"
14801,297
13542,297
14083,297
14096,297
13993,297
14321,"27,28,32,33,297"
14429,297
14666,"487,492,494,495,515,516,522"
13977,368
14053,297
14087,297
13688,297
14192,"297,1184"
15249,"297,298"
16432,297
16319,297
16769,"7,6"
16796,386
15607,297
15435,297
14046,297
14349,297
18974,297
18758,"210,297"
19263,297
17919,297
26131,297
20650,"375,376,297"
20696,297
14086,297
13918,297
11247,"297,1184"
15080,297
10469,297
14341,385
14322,297
14238,297
14352,297
11698,297
11736,490
16033,334
13652,297
13951,297
14003,385
14407,"494,517"
14577,334
14669,541
17209,"297,298"
11927,355
12844,297
18648,297
26150,517
21041,297
18116,"490,491"
11931,490
12215,"297,509"
11445,334
12575,297
17294,"3,4,297"
11249,297
12854,297
15431,297
16214,423
13173,"297,1184"
15313,297
15230,368
14291,297
14599,297
13345,297
14912,522
15592,297
15527,297
14740,297
13907,297
14866,"297,334"
14904,297
17200,"423,426,463,466,480,483"
17080,297
12721,297
12330,360
11939,"326,329,334,337"
16354,368
14417,297
14472,297
14100,297
15043,297
15290,368
14099,297
19615,"297,1184"
19593,297
26723,297
27012,494
27385,522
26790,297
21186,297
21551,385
17236,297
17295,297
17590,"30,248,249"
17531,297
13003,297
13030,297
11567,"326,327,328,329,330,334,337,338"
18521,297
15573,297
15596,297
14231,297
16749,297
16879,297
17788,"384,385,386"
17956,297
13948,297
14190,297
14058,360
13577,297
13633,297
13651,297
13664,297
14061,297
12996,297
16952,297
15357,297
16409,297
16544,297
16484,297
15112,297
15928,"3,4,5"
16145,297
15103,297
15718,297
12266,490
15426,489
15662,297
26672,368
27753,"363,364,368"
27613,297
10840,504
12420,"297,298,301,302"
12702,"297,1184"
17442,297
17523,297
21634,"392,393,394,395,399,517"
21203,297
21393,"28,297"
17562,297
16188,297
16252,297
16549,334
13587,297
13619,297
15685,297
11900,"297,334"
14129,"297,544,1189,509"
15519,297
13766,297
13784,297
13337,167
12942,297
13793,297
14251,297
17166,"297,364"
11634,297
15963,297
15430,"161,297"
14134,"297,1184"
18569,297
19521,297
19480,297
27849,"297,209,210"
28236,297
22065,386
22200,297
15351,297
16543,"48,297"
17881,517
18002,297
16750,28
16925,297
14282,297
14551,297
14358,297
14626,297
18010,522
18099,297
17639,297
15428,297
16784,463
16344,297
16637,297
15034,494
15284,297
12800,297
14540,297
14839,297
14297,297
16734,297
16833,297
16956,297
13949,360
14137,"297,494"
14240,297
19470,297
19344,"297,363"
16754,"3,4,5,6,7,21,30,209,248,249"
19849,"28,297"
28628,297
28945,542
28805,502
20361,"494,495"
18319,28
18523,385
15089,297
15578,281
17879,297
17880,517
13544,297
14351,297
14165,"6,7"
14651,297
14662,297
14531,297
16974,297
14763,518
14955,490
29202,498
29467,297
29104,"3,4,6,7,27,40,41"
29403,"167,297"
20214,"494,495"
22876,297
22924,490
17254,"457,458,459,463,464,465,466,473,475,480"
17526,"297,509"
13600,297
14809,297
14939,297
14733,297
16766,297
16860,297
16069,297
16429,297
16118,297
16433,297
16211,297
16108,297
12726,297
12977,297
17405,297
15884,297
16261,490
17192,297
13079,297
13530,297
13928,297
14055,297
17252,"480,483"
17928,297
13715,297
16043,297
16290,"297,1184"
16259,297
15042,297
15066,297
15287,297
15875,297
16021,297
19723,297
20061,297
17477,297
17453,297
17457,"297,28"
14877,"494,495"
13929,297
14239,297
14458,297
20209,431
19994,"365,366"
14267,"27,28"
14273,297
14097,28
14843,297
16799,"297,1184"
17003,296
29968,"75,76,77"
30157,297
23079,297
23210,334
18220,297
18286,297
15255,297
18757,297
17941,297
14115,334
15526,297
15603,297
14368,297
16835,502
16595,360
16540,"297,41"
16585,490
17091,297
13616,297
18463,"422,423,424,425,426,431,432,433,434,435,436,437,438,439,454,461,462,463,464,465,466,470,475,477,478,479,481,482,483"
16977,"27,297"
17414,297
17411,297
15667,544
13313,297
14277,297
16652,297
17929,297
17994,297
15854,"515,516,522"
15935,297
15821,297
16798,"297,1184"
16994,"490,492,501,502,503"
14448,297
14779,297
18305,297
20225,488
13575,297
17706,297
17736,515
16088,297
16164,297
20437,297
20172,"357,358,359,407,408,409,410,416,417,418,419,425,426,427,428,433,434,435,436,441,442,443,446,447,454,455,456,460,461,462,463,468,469,472,473,475,477,478,480,481,483,485"
20622,490
14915,385
15084,297
15248,297
11896,"366,368"
30012,297
30422,"27,28"
30216,297
28170,502
30643,297
18909,341
19128,297
19365,"51,52,297"
16272,297
17029,297
17131,"297,1184"
17187,"494,495"
18426,360
15439,"297,1184"
23638,297
23763,385
19304,366
19437,522
19234,27
19435,297
15959,365
16093,368
16210,297
15691,297
17327,297
17377,297
16947,494
17001,"297,1184"
14513,463
18628,"426,431"
18778,297
14625,297
14765,510
13420,297
17132,167
16707,366
16179,502
14908,297
16539,"27,28"
16605,297
16483,297
16782,365
16277,297
16965,297
16951,297
14963,297
15141,297
17230,"426,462,463"
16946,297
20695,"542,301,303"
20735,297
20937,"297,27,28,40,41,47,48"
18333,297
18552,297
17968,297
16968,297
17093,297
17086,368
20741,297
20865,522
15217,297
15633,297
15896,297
15870,"297,1184"
19644,297
19702,297
20028,"27,28"
30998,"501,502"
30662,297
23900,334
23961,297
18939,544
19744,490
19710,297
18866,297
18865,297
18316,297
16770,297
17293,297
17754,297
16891,297
16690,297
17300,"519,297"
17092,297
14965,297
13946,297
15630,297
17663,506
19016,297
17686,"27,28"
18086,297
17530,360
17135,297
17520,297
17563,297
18687,297
18771,297
18382,297
18806,"366,368"
19000,297
16263,297
16312,"365,366,490"
17616,490
20971,544
21259,"494,495,515,522"
21129,297
18240,385
14605,431
31679,368
30231,297
15601,364
15666,544
15352,297
15937,490
16289,404
16257,297
16542,297
20287,297
20322,297
17527,297
24451,519
24445,297
18193,297
19053,494
19461,"3,4,5,6,7,209,210"
14370,297
18079,297
19207,"297,1184,27"
19283,"363,364"
19518,297
11810,297
17162,297
13828,"288,289,290,291,294,295,359,360,361"
17078,297
15663,368
18241,297
17420,297
17931,"297,490"
18059,297
18146,297
14587,297
16102,297
17400,"422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439"
17969,297
17993,"40,41,297"
17271,386
17714,297
18975,297
16548,297
17696,490
21494,"445,463"
20702,386
21370,544
21650,297
18410,297
17479,297
21294,297
20804,297
14643,"423,425,426"
31838,297
32262,297
13919,297
15831,297
16240,297
16737,494
24662,297
24767,"494,495"
24978,334
20449,297
19479,297
19266,"297,249"
18288,375
13630,297
19192,386
17244,"297,210"
16874,297
17259,297
16731,297
17722,297
16460,490
19443,297
14633,"365,366"
18747,297
18087,297
18706,490
16163,297
17640,297
13305,508
17771,297
17913,297
19510,297
16903,297
18063,297
22173,"297,1184"
18627,297
18893,297
17782,297
21555,297
21394,297
16948,297
17013,27
17170,297
33021,385
33247,"494,495"
17229,385
17461,297
20685,297
20957,297
18178,297
24945,297
23310,297
25246,297
20323,334
20472,297
20634,"494,495,517"
19912,301
19947,"359,360"
18331,297
18397,"28,297"
17536,297
17440,490
17764,297
16832,297
16922,"297,334"
15404,297
18810,490
19739,"385,386"
20022,"297,7"
18756,297
18576,297
18734,297
18794,297
13462,297
18466,297
17703,297
17763,297
19496,297
19621,"384,385,386"
19681,"27,297"
17790,297
18089,297
18164,"47,48"
17369,297
19645,28
19921,297
18359,"297,40"
22377,297
22658,"515,516,521"
19022,297
19332,297
18057,297
21994,360
32890,297
33503,522
17862,334
17923,297
21027,297
21263,"28,297"
18745,517
18782,297
24626,360
25170,297
25171,297
25049,297
25894,"494,495"
21063,421
21048,297
21347,297
20120,297
20435,"297,27,28,29,30,32,33,40,41,70"
20335,297
20154,544
20541,360
17455,297
18074,297
17466,"297,1184"
17495,297
