work_id,occupation_id2
10124,50
10416,50
10533,112
10572,359
11424,63
11557,112
11649,1
11669,223
11722,2
12346,152
12625,1
13356,170
13391,99
13461,149
13475,50
13495,328
13565,63
14424,267
14471,17
14732,281
14748,343
15335,2
15377,99
15393,152
15431,7
15512,174
16267,50
16296,2
16309,14
16355,204
16417,63
16432,99
16965,1
17243,140
17311,1
17711,142
17732,27
17955,217
18363,2
18395,47
18587,152
18608,40
18989,310
19080,342
19112,153
19123,224
19134,214
19196,40
19228,14
19238,296
19281,50
19688,301
19752,156
19774,50
19816,170
19905,214
19952,340
20345,152
20439,1
20451,153
20501,152
20549,360
20561,153
20572,95
20647,18
20675,18
21135,344
21222,153
21348,50
21396,1
21410,234
21930,63
21948,366
22174,241
22879,151
23120,155
23136,175
23565,47
23606,152
23661,154
23744,175
23892,1
23904,203
23953,9
24515,372
24571,173
24597,158
24610,339
24622,152
24707,213
24719,235
24747,214
24763,15
24777,249
25198,344
25222,14
25236,217
25249,99
25295,42
11947,82
12055,35
12178,153
12306,364
12890,112
12937,1
13014,344
13086,332
13114,173
13150,36
14079,325
14203,36
14776,153
14806,259
14950,17
15020,345
15141,1
15155,2
15686,153
15701,21
15790,152
15880,160
16061,1
16100,99
16650,50
16702,213
16726,14
16749,3
16827,301
17383,217
17466,342
17695,49
18089,1
18209,1
18293,325
18839,152
18935,8
18962,374
19340,14
19404,359
19511,170
19521,167
19650,19
20005,153
20037,158
20070,152
20116,1
20193,159
20225,274
20237,173
20269,252
20759,178
20877,158
20904,1
21036,2
21506,152
21759,8
21787,1
21799,14
22397,2
22473,153
22488,160
22502,348
22540,13
23170,217
23249,40
23315,174
23339,139
23470,359
23512,218
23974,153
24036,214
24185,222
24285,112
24325,301
24368,367
24889,99
24984,14
25051,99
25069,159
25139,213
25654,153
25693,2
25419,113
25446,5
25520,50
26066,41
26150,296
26180,40
26210,334
26224,153
26292,140
26382,170
26948,173
26993,172
27067,217
27105,345
27663,227
27718,1
27807,219
27838,292
28035,152
28064,29
28596,222
28670,286
28778,34
28816,174
29259,2
29319,18
29335,35
29396,99
29444,152
29578,152
29622,379
30057,18
30083,154
30144,2
30155,31
30194,362
30326,40
30375,241
30388,63
31259,346
31320,152
31343,342
31586,222
31649,10
31679,82
31779,213
32895,18
33250,156
33324,142
33377,3
33487,20
34351,367
34442,218
34542,297
34731,3
34747,5
34901,1
34956,1
35914,1
36070,334
36224,8
36250,16
36388,41
37605,173
37762,338
37841,170
38071,173
38245,294
39086,1
39187,95
39237,4
39414,222
39646,2
40784,42
41075,152
41114,14
41298,343
41318,48
42813,14
42915,214
43987,229
44320,82
44389,241
44481,21
44609,50
44682,5
44737,344
44888,239
45875,222
46198,344
46409,44
46499,1
47892,154
47996,233
48024,170
48061,218
48381,30
48650,215
50075,365
50097,2
50444,41
50567,1
50630,5
50664,223
50709,365
25833,8
26440,210
26474,40
26619,152
26721,170
27291,17
27317,1
27332,179
27385,295
27443,317
27537,48
27655,31
28112,365
28412,4
28449,170
28903,1
28938,338
28985,367
29009,219
29020,213
29121,35
29204,281
29217,37
29231,30
29241,344
29696,187
29709,1
29761,172
29800,99
29826,4
29878,334
29922,367
29960,246
29995,241
30577,346
30856,1
30903,27
31931,35
31960,222
31996,50
32049,35
32175,13
32220,1
32281,9
32341,3
32394,344
32489,342
32527,50
32603,31
32714,48
33553,1
33660,146
33975,1
35057,1
35214,15
35499,9
35589,99
35634,274
35659,217
35676,361
35712,1
35726,217
36672,342
36841,367
37090,49
37221,140
37290,270
37440,251
38360,174
38536,8
38659,2
38713,346
38794,40
38883,1
39857,35
40199,1
40299,30
40382,295
40536,152
40571,4
40616,191
41432,239
41457,172
41779,338
41841,170
41882,217
41905,343
42038,192
42062,5
43177,341
43214,49
43237,18
43269,217
43345,226
43372,176
43479,1
43727,8
45002,1
45087,18
45106,173
45172,206
45229,63
45468,233
46816,2
47049,17
47193,222
47231,167
47422,1
47617,2
48695,14
48772,156
48953,361
49548,246
49596,1
49681,1
50772,325
50878,99
51483,8
52394,82
51570,12
51879,220
51939,303
52039,160
52112,31
52175,26
52337,14
53211,218
53478,289
53621,296
53722,82
53864,337
54007,215
55177,281
55241,35
55268,224
55482,342
55527,34
55587,218
56619,342
56640,5
56684,1
56832,343
57024,2
57043,19
57070,95
57090,152
57192,249
57238,156
57255,367
58163,334
58186,20
58377,173
58407,172
58523,204
58620,174
58672,1
58748,341
58829,61
58867,160
59632,238
60158,291
60190,40
60200,273
60236,152
60295,153
61594,2
61633,325
61766,223
62710,345
62878,153
62936,172
63008,217
63192,266
63307,40
64292,346
64370,1
64451,5
64479,281
64595,234
64668,159
64709,2
64822,21
65571,50
65823,306
66902,294
66984,233
67100,152
67135,191
67166,2
67200,63
67280,368
67421,49
67457,179
68279,44
68364,156
68486,7
68513,99
68529,289
68667,381
69749,19
69790,82
69858,153
69880,63
70037,40
70073,246
70168,5
70212,35
70237,41
70343,14
70357,296
70387,15
71298,2
71309,152
71411,343
71562,346
71798,1
71816,275
71870,1
71930,194
71947,214
72016,1
72518,152
72541,217
72633,112
72647,2
72691,2
72713,246
72761,214
73189,5
73201,366
73241,218
73268,217
73278,300
73289,63
73346,346
73419,334
73431,95
73477,14
73487,159
73510,149
73998,233
74024,270
74047,204
74059,82
74081,63
74103,243
74137,8
74147,361
74187,300
74202,30
74693,275
74730,129
74817,154
74916,19
74956,342
74970,5
75367,4
75393,160
75451,281
75477,1
75488,328
75500,10
52423,338
52831,46
52967,217
53046,283
53070,223
54115,5
54225,158
54257,217
54278,8
54314,17
54478,172
54520,99
54582,155
54620,170
54661,214
54682,366
54718,8
54741,364
54859,217
55852,8
55973,214
56041,152
56055,8
56108,214
56433,222
56573,224
57400,1
57420,99
57486,291
57506,12
57602,35
57618,45
57733,14
57910,99
57971,63
58051,112
58894,233
59092,35
59130,275
59373,159
59449,364
59467,291
59520,182
59581,149
59598,222
60732,5
60997,27
61128,173
61938,152
61964,15
62046,82
62069,1
62103,338
62158,170
62172,99
62257,323
62404,5
62560,217
63420,152
63496,99
63628,210
63805,256
63948,381
63973,309
64846,8
64902,40
64925,359
65072,14
65164,336
65330,241
65351,18
65469,5
65488,173
66270,50
66340,14
66549,18
66652,344
66691,257
66778,160
66802,234
67523,214
67544,179
67595,342
67926,1
68009,159
68036,20
68950,40
69091,160
69111,1
69184,156
69258,343
69288,82
69348,310
69513,232
69623,15
69658,31
70683,1
70765,224
70900,335
70918,172
70959,112
71186,35
72082,236
72158,233
72169,34
72180,1
72190,366
72238,5
72285,292
72307,227
72344,222
72441,281
72862,281
73016,319
73039,14
73050,335
73144,50
73586,249
73608,48
73621,280
73644,270
73681,21
73842,1
73863,35
73875,241
74280,2
74317,96
74339,152
74386,99
74496,217
74532,343
74556,14
74566,95
75000,140
75011,264
75023,291
75036,2
75086,275
75134,24
75161,152
