member_id,user_exp_id,user_exp_check_number
1069428,"177,170","3,3"
1700645,"233,256,235,250,255,259,267,275,257,272,253,268,280,271,234,286,246,254,248,251,252,236,285,249,247,269,265,245","1,1,2,1,1,1,3,2,1,1,2,1,2,1,3,3,3,3,3,3,3,3,3,1,3,1,2,1"
841187,"401,292,43,287,297,299,338,296,329,70,38,302,347,318,42,398,47,71,49,50,58,44,357,48,317,46,41","3,3,3,1,3,3,2,1,2,2,2,1,1,2,3,3,2,2,3,3,2,2,2,2,2,2,3"
2631712,"515,135,2","3,2,3"
2993846,"695,718,676","2,3,2"
2964605,170,2
2195827,"27,36,21,25,24,29,37","3,2,3,3,2,2,3"
2851018,"588,585,1,589,515,2","3,3,3,3,2,3"
2887079,"170,2,245,401,588","3,3,3,3,3"
2741759,17,2
2356269,"43,50,812,807,945,824,934,44,940,46,831,38,49","1,1,1,1,1,1,1,1,1,1,1,1,1"
859731,"719,686,16,738,682,689,690,713,687,712,553,692,715,704,1,718,173,681,192,551,745,552,163,716,730,174,693,739,170","2,3,2,3,1,2,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,2"
2996317,135,2
2982649,"135,245,38,170","3,2,2,2"
2900982,"38,170","2,3"
2914407,588,2
2996987,245,3
2946192,"245,236","3,2"
2935059,170,3
38036,"520,516,524,527,534,521,533,514,528,532,515,512,513,529","3,3,3,3,3,3,3,3,3,3,3,3,3,3"
2990717,170,2
1239556,"588,573,598,589,556","2,2,3,2,1"
2480338,38,2
2973286,"2,588,585","2,3,3"
1379508,"25,23,4,5,1,2,3","2,3,3,3,3,3,3"
610774,"551,704,433,52,698","3,1,1,1,1"
2657656,"246,272,248,265,233,271,236,286,252,277,234,247,254,251,285,268","3,2,3,2,2,3,3,2,2,2,3,2,3,2,3,3"
2984886,"1,2","3,3"
2965687,"1,245,589,236","3,3,2,3"
2806977,"997,648","2,2"
1953450,942,3
2992947,"236,2,38,515,245","3,2,2,2,3"
1323878,551,3
2206048,4,3
2080655,"401,398","3,3"
575899,601,1
2982723,"589,245,236,170","3,3,3,2"
2996465,"589,588,170,236,245","3,3,3,3,3"
2988520,135,3
2478788,"657,653,662,654","3,3,3,2"
702682,"549,541,545,519,539,544","3,3,3,3,3,3"
2992120,38,3
2548066,"284,246,283,236,251","3,3,3,3,3"
2614239,"245,236","3,3"
2647220,135,2
2470668,515,3
2951526,1,2
2166217,"974,289,464,982,408,103,404,59,305,981,407,115,414,116,415,121,433,114,410,120,432,113,423,101,350,973,117,426,122,447,119,428,978,402,14,20,124,449,106,986,979,425,108,419,110,420,70,331,2,112,421,104,405,123,448,58,304,500,107,418,118,427,71,348,10,67,329,105,406,102,399,13","3,1,3,3,3,3,1,3,1,3,3,3,1,3,1,3,3,3,3,3,3,3,1,3,2,3,3,2,3,2,3,1,3,3,3,3,3,2,3,1,3,1,3,1,3,1,3,3,3,3,1,3,1,3,2,3,1,3,3,1,3,1,3,2,3,3,3,3,1,3,2,3"
2813720,"170,588,589","3,3,2"
2939909,588,2
2084655,"245,280,130,135,235,602,154,267,600","3,2,1,1,3,1,1,2,1"
2986394,"678,66,689,61,70,101,107,68,105,48,769,102,979,104,677,38,59,41,43,692,45,115,687,976,103,693,690","3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2"
2969772,170,3
2614600,"236,170","2,2"
2792328,"245,596,236","3,3,3"
2990643,2,3
1709184,"42,44,975,50,38,43,65,49","3,3,3,3,2,3,2,3"
1024711,"524,525,513,526","3,3,3,3"
1319739,"408,407,163,170,41,42,43,11","1,1,2,2,1,1,1,1"
1077283,"38,52,170,163,53,71,65","3,2,2,2,2,3,3"
1827969,52,3
2448247,"211,130,225,154,200,204,135","2,2,2,2,2,2,2"
2798849,"52,975,38","3,3,3"
556722,"193,171,196,170","2,2,2,2"
822647,"921,229,918","3,2,2"
2894332,"1,2,135","3,3,3"
2967079,"2,170,1,135","2,3,3,3"
2044622,"10,2,131,135,163,15,147,137,164,146,632,1,170,141","1,1,1,1,1,1,1,1,1,1,2,1,1,1"
2351816,235,3
1333028,"163,170","2,2"
2979039,456,3
2995893,"245,596,1,236,170","3,2,3,2,3"
2759830,"135,170","3,3"
2922422,236,3
2809463,170,3
2945368,2,3
2931037,"135,245","2,3"
2927715,"170,1","3,3"
2954918,170,3
1451904,"596,135","2,2"
1146596,"862,893","3,3"
2698735,38,3
2413291,919,3
411177,607,2
2783846,"38,588,585","3,2,2"
96920,"524,515,530,534,525,533,529","3,3,2,2,2,3,2"
2984659,"245,236","3,3"
2993739,"236,245","2,3"
2881160,515,2
2994531,589,3
2972538,"170,1","3,3"
2304351,"521,512,533,520","3,3,3,3"
2788170,"170,1,38","3,3,3"
1905104,"1005,170","3,2"
2456116,"43,44,976,551,42","1,1,1,3,1"
647465,"2,15,407,36,21,408,30,433,25","3,3,1,2,2,1,2,1,2"
1697208,"1,15,17","3,3,2"
2911124,947,3
595394,"677,670","3,3"
2043923,515,2
2345027,"541,544,515,514,549,537,512,539,547,538,543,548,545","3,3,3,3,3,3,3,3,3,3,3,3,3"
645246,"246,252,236,269,234,251,285,254","3,2,3,3,3,3,3,3"
2490347,38,2
2973436,"1008,38","3,3"
924415,"39,38,65","3,3,3"
2284235,1,2
2957978,"1,2,588","3,3,3"
2828588,"29,25,31,35,442,30,439,21,975,461,438,24,207","1,1,1,1,3,1,3,1,1,3,3,1,2"
2973088,"236,245","3,3"
2967163,236,3
2560415,135,3
1486144,"935,170,163","2,1,1"
2805966,2,3
1608295,"317,376,474,473","3,3,3,3"
774924,606,2
2746298,"58,978,46,86,70,111,61,104,45,83,48,91,49,92,54,98,47,87,53,96,43,80,67,108,50,93,55,99,52,95,69,110,57,102,74,44,82,976,77,41,78,65,106,42,79,71,56,101,59,103,38,76,51,94,66,107,64,105,72,68,109","3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3"
2985071,2,3
801111,52,3
1154448,551,3
2728033,204,3
1211369,"170,163,195,652,191,662","3,3,3,2,3,2"
3002112,135,3
2993865,589,3
2569883,"2,38","3,2"
2954564,"2,236,245,1","2,3,2,2"
858528,"170,192,172,185,188,163,205,231,174,200,171,225,184,173,204,187","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
12785,"523,515,514,516,512,521,520","2,1,1,3,3,1,1"
408342,"703,710,702","2,3,3"
2969085,170,3
2886407,"596,204","3,2"
1368873,"175,7,122,459,106,188,93,177,11,124,458,105,468,108,469,110,597,2,118,465,107,585,1,117,454,103,184,20,170,470,114,3,119,472,116,187,92,173,174,5,121,191,96,456,104,196,98,452,101,182,16,126,453,102,189,94,4,120,176,10,123,192,97,471,115,183,19,163,180,15,125,190,95,185,91,172","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
594905,602,1
2843623,"236,170,245","3,3,3"
2666878,"1,2,11,3","3,3,3,3"
654176,"947,934,918","3,3,3"
2986860,"2,1,38","2,2,3"
999172,"584,595","3,3"
52824,"44,38,652,665","2,2,2,2"
2978091,655,3
2492095,"588,170","3,3"
891961,21,3
1723824,"149,154,130,140,138,131,141,136,147,145,150,135","3,3,3,2,3,2,2,2,3,3,3,3"
1162791,596,3
2773629,"551,774","3,3"
2943028,551,3
2925613,1,3
2256173,512,3
366614,"235,244","3,2"
2955689,"2,170,1,245,1008","3,2,3,3,3"
2970790,"135,1","3,3"
2728349,"165,163,191,195,167,239,196,237,198","3,3,3,3,3,3,3,3,3"
3002717,236,3
1991972,"2,233,284,16","2,2,3,2"
2981076,"245,1008,236","3,3,3"
2700752,"1002,776","2,2"
1256113,"533,534,516,525,528","2,2,3,2,3"
2962175,"2,1,3","3,3,3"
2388784,629,2
2832058,135,3
2990163,1,2
1558263,"44,48,49,38,51,46,43,50","3,3,3,3,3,3,3,3"
2992124,588,2
2955948,"589,245,236","2,3,3"
1828254,"291,398,287,921","1,2,1,3"
806465,"170,196,163,192","3,3,3,3"
2981342,"1,38","3,3"
1093369,"2,15,5,14","3,3,3,3"
1890482,"515,513","3,2"
2965680,236,2
234718,"52,38","3,3"
2077303,"974,14,10,2","3,3,3,3"
2977697,170,3
