member_id,age,user_gender,wanted_annualpay
28337,36,female,
172773,47,female,
366821,35,female,
593687,40,female,251～300
681069,25,female,251～300
1711708,29,male,251～300
1719524,48,male,301～350
2220704,46,male,351～400
2236188,47,male,
2350046,34,male,501～550
2377490,29,male,651～700
2379392,44,female,251～300
2506383,38,male,
2578343,23,,
2789345,32,male,651～700
2897320,50,female,351～400
2905415,32,,451～500
2929744,29,female,201～250
2944889,33,male,351～400
2962729,26,male,351～400
2968760,61,,
2975000,20,,
2975887,22,male,351～400
2977363,28,,
2985335,24,,
2987758,27,female,401～450
2991487,25,male,351～400
2991981,33,female,351～400
2993363,22,male,601～650
2995005,31,,
2995357,29,female,251～300
2996128,39,female,～200
2996329,29,female,351～400
2998230,31,female,～200
2998831,31,,
2998967,48,,
2999606,29,male,～200
2999910,30,female,451～500
3001455,60,male,201～250
3002498,25,,
34732,36,male,
781826,29,female,201～250
804493,31,male,
1776968,31,male,251～300
1807903,40,female,401～450
2183484,41,female,
2430179,25,female,251～300
2578104,59,male,251～300
2667105,25,male,401～450
2731174,37,female,251～300
2811176,47,male,301～350
2815958,33,male,
2926979,33,,
2958121,24,male,301～350
2962313,45,,
2965701,21,,
2965963,28,,351～400
2979423,45,,401～450
2980189,30,,
2990361,32,male,501～550
2990375,24,,
2991850,21,male,251～300
2992842,35,male,501～550
2995575,22,female,301～350
2996396,28,female,251～300
2996688,30,male,551～600
2997444,31,,
2998607,25,male,301～350
2999795,36,,
3001073,38,,
3002456,31,male,251～300
143121,36,female,
519843,45,male,
1141434,33,female,301～350
1488795,29,female,
1689595,37,male,451～500
1868474,24,female,
2198461,46,male,
2318875,29,female,201～250
2362166,24,male,301～350
2461375,26,male,401～450
2531190,45,male,451～500
2651453,36,male,401～450
2725680,26,female,～200
2742206,34,male,351～400
2862399,50,,
2862627,33,male,501～550
2913256,23,,
2939140,34,male,401～450
2966650,33,male,251～300
2982166,26,male,401～450
2989449,26,male,401～450
2990835,34,male,451～500
2991771,38,female,351～400
2991890,29,female,401～450
2994270,28,male,451～500
2995377,32,female,301～350
2995453,40,male,601～650
2995842,37,female,～200
2996608,27,,
2998713,38,male,451～500
2999833,29,male,251～300
3000949,22,female,301～350
3001230,21,female,601～650
3001411,32,female,351～400
3001526,26,male,251～300
3001844,23,,
3002260,24,male,601～650
396217,43,male,
571250,44,female,
1256217,50,female,～200
1863586,38,male,351～400
2014899,26,female,301～350
2066650,36,male,301～350
2382442,21,male,
2445811,43,male,401～450
2528934,26,male,551～600
2529377,36,female,251～300
2547885,31,male,451～500
2829694,24,,
2870203,44,male,351～400
2889113,36,male,251～300
2926888,38,female,301～350
2955355,32,male,251～300
2956909,29,male,501～550
2981325,47,male,601～650
2989497,28,male,401～450
2989596,24,male,301～350
2991847,24,male,201～250
2992451,27,female,251～300
2992889,37,male,301～350
2996125,27,male,451～500
2996248,24,female,201～250
2997148,26,female,351～400
2997435,35,female,301～350
2998010,21,female,～200
2999982,22,female,601～650
2999985,30,female,351～400
3000103,22,,
3000180,26,male,301～350
3000887,30,female,251～300
3001247,25,male,401～450
3001725,33,male,451～500
3002604,24,female,301～350
895505,49,male,351～400
994903,,female,
1068633,36,male,351～400
1353641,35,male,451～500
1811014,58,female,551～600
2057898,46,,
2127956,44,female,201～250
2227683,45,,
2253173,23,female,201～250
2326283,41,female,501～550
2536624,45,female,
2569101,64,male,351～400
2636575,52,male,351～400
2649756,21,female,
2681650,44,female,
2717926,50,female,251～300
2799081,50,male,601～650
2810729,22,male,201～250
2892347,68,,
2919080,31,female,251～300
2925616,24,female,251～300
2948544,54,,
2969969,32,male,～200
2975146,25,female,351～400
2976626,28,female,251～300
2978443,34,female,201～250
2986385,28,male,301～350
2986517,22,male,201～250
2987770,19,,
2990012,35,female,351～400
2990207,27,female,601～650
2992273,23,,
2992588,26,male,301～350
2993151,29,male,401～450
2993368,28,female,301～350
2994218,38,female,301～350
2995622,29,male,351～400
2995986,22,female,201～250
2996543,26,female,251～300
2996647,22,male,401～450
2996950,39,male,301～350
2996983,23,,
2997351,22,male,351～400
2997508,33,male,1501～
2997622,36,male,351～400
2998192,25,male,201～250
2998738,34,female,～200
