member_id,occupation_id1
2985444,214
2989803,303
2966304,336
1069428,"15,14,30,24,17"
2875507,13
1700645,"110,112,129,116,113,99"
2993169,172
2991388,289
841187,"159,14,152"
2820050,"28,296"
2997891,14
3002048,32
2990438,3
2991232,213
2997162,"40,143"
47672,328
2993055,14
2994648,222
2991266,268
3002691,268
2988321,14
3001713,41
2602312,82
2997802,289
3001291,"290,226,228"
2631712,"205,30,29,340,33,32,204,339"
2880134,"170,31,173"
2992917,329
2844581,337
2993846,"232,239,238"
2990475,329
2753685,"14,40"
2997284,226
2968196,18
2964605,"337,47,336"
2993963,328
2990102,231
2195827,"10,331,14,329,9,330"
2999862,286
2851018,"29,26,8,31,33,339,372,334,232,9,371,27,5"
2991040,289
1168474,"335,18,367"
128394,"156,152,172,170"
2887079,"351,356,40,43,29,20,1,32,64,24"
2995829,8
2846928,346
2741759,1
2356269,"20,19,16,17,21,22,330,14,10,15,329,331,18"
2997923,225
2990406,226
2994513,210
2319593,12
2972611,367
859731,"249,374,372"
1292201,"5,26,338,334,41,29"
2996317,"18,14"
2372076,146
3000099,223
2987611,1
3000350,238
2982649,"342,343,296,300,341,289,203"
2989771,326
3000585,1
2995157,173
2973490,382
2989572,289
2991542,14
2995156,226
2978530,15
2999656,16
2608768,14
2842820,289
2900982,"14,226,368,227,225"
2985624,5
2917031,13
2914407,"366,221,222"
2711884,14
2996987,"268,203"
3000951,14
2946192,296
2995655,14
2994048,14
124274,"316,241,329,249,1"
2935059,"40,44,343,49,14,15,342"
38036,"222,217,215"
2991181,289
2990717,14
2188052,14
2997838,213
2850121,14
1239556,"4,210,213,230,207"
2480338,"351,49,20,339,216,227,369,15,229,337,230,343,46,14"
2973286,"368,330,226,227,331,225"
2993910,238
2989845,14
1379508,"367,226,5"
2991419,2
2868227,223
610774,"231,217,223,249,366"
2657656,"99,113,346,348"
2995962,159
2999067,210
577180,5
2945496,226
2998476,14
2984886,330
3000988,"142,259"
2992736,328
2965687,"50,63"
2923915,227
2528192,227
2999096,291
3000680,156
2806977,289
2585935,238
2973462,338
2996523,22
1953450,"23,239,371,158,159,19,14,153,152,18,21,154"
2951700,142
2992947,"168,158,156,361,167,169,165,155,153,172,161,160,152,154,162"
2112810,"96,40"
2678498,"224,257"
2998777,82
1323878,226
2713877,"228,367,48,331,3"
2940281,"34,31,32"
2992739,238
2206048,14
2993308,197
3002421,226
2592934,14
2080655,"169,332,167,362,361,159"
2998828,40
575899,141
2301593,18
2993615,289
2982723,"46,48,47,343,49"
2970344,230
2997030,289
3002792,153
3001823,14
2476192,14
2996465,226
2993811,14
2990510,20
2997164,41
2804444,40
2976120,329
2999536,329
2997865,1
2990342,14
2996313,326
2993723,"231,227"
2988520,8
2992983,39
2478788,1
702682,"372,222,217"
2992120,382
2548066,"346,226,382,347,290"
3000414,170
2996754,14
2614239,"210,113,205,50,204,99,64,346,61,344"
2990856,82
2998261,7
2996676,14
2647220,"40,38,15,16,142,143,4,64,14,35"
2967267,17
2470668,"217,215,214"
2951526,"323,343,218,4,44,8,30,14,29,339,33,214,32,340,34"
3001661,1
2940312,374
2992193,170
2992050,139
2996192,19
2166217,"28,362,372,211,167,374,361,17,34,340,336,338,332"
2837355,2
2994184,213
2949501,203
2966351,177
2993328,241
2988095,17
2813720,"227,367,228,230,224,229,369"
2939909,"228,230,229,369"
2084655,170
2453864,340
3002365,241
2994286,268
2986394,"338,322,303,27,339,206,271,13,340,337,270"
2969772,"342,43,224,227,40,48,367,223"
2998377,152
2999556,96
2614600,289
2990200,152
386942,"249,14"
2792328,"228,230,229,352,382,369"
3000508,21
2998953,47
2993746,17
2946370,4
2733888,1
2990643,"63,15"
2312834,382
2986692,15
2999956,14
1933558,170
2976723,5
2996918,239
2997382,341
1709184,"4,14,15"
2999693,382
2976600,239
2965857,8
2994860,14
1024711,215
2993745,238
2839298,3
3001998,14
2447527,14
1319739,"21,15"
2991311,3
2973288,"227,368,225,226,223,367,224"
2982075,8
2546790,229
3000537,339
2149782,222
148171,"139,21,1,325,40"
2764454,1
1077283,"301,3,1,21,5,230"
2990990,268
2999589,5
2995624,14
1183289,"367,231"
135845,"34,30,28,29,14"
1827969,18
3001574,170
1962757,2
2667831,14
2989799,329
2245722,82
2074989,343
324955,"368,5,226,230"
2988801,367
1669879,"12,335,328,1,381,13,228,7,2,325,230,5,229,326,369"
3001926,207
2823316,14
2448247,14
2798849,"21,20,18,19"
2667163,1
2738978,20
2990647,238
2993487,238
2979170,"216,296,331"
3002664,48
2925809,238
2986847,99
2999319,189
2990780,139
3001096,14
2994526,326
556722,99
2999546,27
2992196,17
2802453,"303,301"
2537130,"368,227"
822647,"324,331,381,326,330"
2993781,218
2755492,270
2961804,14
3002579,291
2992714,153
2998064,14
2980028,14
3002396,21
2894332,"337,21,8,1,20,5"
2967079,"10,323,15,4,17,14"
2976690,1
2993214,15
2990107,96
2989464,139
2998469,1
2115689,1
2332647,21
2044622,"6,303,7,2,5,334,11,285,8,1,336,301,3"
3002822,18
2958462,21
2351816,"17,299,300,10,24,21,14,15,289"
3001776,15
3002754,153
2987919,9
1333028,"226,40"
2994308,323
2981271,14
2979039,"4,14,337,229,5,222,204,227"
2999056,14
2995893,"41,50,3"
2999057,206
2759830,"278,14,15"
2574565,"232,224,367,238"
2991408,336
2922422,112
2809463,"4,15,14"
1612282,"10,15,14,4"
2945368,"289,184,190,331,185"
2931037,"93,345,95,82"
2463739,"15,14,278"
2790880,3
2990324,18
2991745,40
2988127,226
