member_id,user_pref_id
13723,"24,21,23"
27591,13
49978,13
110327,3
155895,4
165362,"13,11"
172062,13
202026,10
224071,34
232121,"12,13"
235071,27
247441,11
255999,15
287136,"14,13"
299643,45
363344,33
441407,45
478280,"13,11"
508993,"28,13,27,12,14,29,26,11"
518773,9
538600,"13,22,14"
541589,"11,13"
569039,"26,28,27"
609812,16
614503,"30,29"
650240,40
684340,47
724063,"41,40"
736026,"14,13"
754761,"14,13,12,11"
779137,23
803972,"12,13"
804511,27
805121,47
811345,10
835460,"10,42,22,14,46,26,18,29,25,2,34,30,1,33,13,45,17,32,28,24,6,38,9,41,5,37,21,31,27,7,39,16,3,35,12,44,20,11,43,8,40,19,4,36,15,47,23"
854224,27
906512,27
915418,"11,14,13"
923707,12
948897,"13,14"
987344,23
990480,13
1029915,"11,13"
1034963,"11,13,12"
1036237,14
1072383,27
1077663,"13,14,12,11"
1144934,27
1158984,23
1160353,13
1199689,13
1229027,4
1253014,14
1258249,"11,13"
1273386,37
1316509,13
1317242,38
1367057,9
1376369,"14,13"
1379289,23
1422751,13
1445231,
1450756,"34,33"
1494389,37
1503419,1
1575143,30
1648435,28
1677212,"10,14,4,13,20,12,9,15,8,7,11"
1708610,3
1731575,27
1746655,28
1751600,13
1767851,14
1771856,20
1773239,34
1854663,"26,28,27"
1859085,14
1883229,13
1891434,27
1904215,43
1905942,13
1960697,4
2022736,"13,1"
2035635,13
2047667,38
2048068,8
2051479,9
2075400,13
2088786,14
2094607,36
2099876,22
2117259,13
2145030,1
2146413,6
2149897,8
2151461,"14,13"
2153074,"32,31"
2174968,"14,13,11,12"
2177750,27
2178906,13
2189590,13
2194606,4
2227008,27
2227721,"13,4,7,3,21,23,6,2,12,22,5,11,14"
2237212,1
2241395,13
2242926,14
2245995,"14,11,9"
2258548,14
2261803,"17,9,16,22,10,13,12,8,15,11,20,23"
2272025,15
2280235,23
2313480,"11,13,12"
2314351,13
2316029,1
2319592,23
2330627,"27,28,29"
2330826,1
2331703,13
2334727,"7,10,9,8,14,3,13,5,11,4,12"
2348970,45
2353239,13
2366506,8
2366558,1
2370596,15
2383346,26
2402028,24
2405818,47
2416504,"16,17,18"
2423652,27
2426664,13
2445490,27
2448236,22
2453884,43
2456854,43
2458309,"14,13"
2462546,13
2470197,14
2475866,9
2476808,40
2481898,"13,11"
2488906,28
2490803,40
2496364,13
2503642,4
2510378,33
2512112,13
2513814,27
2517826,"11,14,13,10,9,8,12"
2519192,7
2520457,2
2520797,23
2535882,27
2537233,46
2543203,15
2550945,28
2557067,22
2561224,23
2566329,1
2567404,13
2581460,4
2586617,13
2589338,27
2594596,28
2597080,14
2597603,38
2605444,10
2612864,"14,13"
2613685,12
2623283,13
2628550,"11,13,14,12"
2632499,25
2633112,"26,27"
2633866,46
2640445,12
2644321,14
2646699,14
2652691,"43,40"
2653144,"12,8"
2654580,23
2671367,15
2674824,38
2674880,13
2678256,13
2706012,12
2708772,12
2709715,"45,46,41,42,40,44,43"
2710340,"34,13"
2711851,40
2720772,44
2721101,21
2724293,22
2734945,21
2744697,4
2745007,8
2745607,"12,11"
2746059,9
2757059,25
2758502,13
2760146,13
2768641,12
2778725,39
2786757,"30,27"
2790177,27
2793966,24
2793985,23
2796928,14
2797252,23
2797614,"13,12"
2800709,24
2801838,16
2806990,14
2820374,14
2823787,13
2831002,27
2831856,46
2834825,40
2844854,27
2845481,30
2847685,"27,28"
2852256,"14,13"
2853378,"10,9"
2853537,13
2855415,10
2859096,4
2865892,"28,26,27"
2868548,1
2869610,"13,12"
2872226,28
2874138,"13,14"
2874290,17
2884330,23
2886620,11
2888650,23
2899943,14
2905763,43
2908636,27
2912544,"10,14,13,9,40,12,11,8,27"
2913115,42
2913785,12
2918834,34
2919963,3
2921101,47
2922370,24
2922671,27
2923237,11
2924262,40
2925785,27
2928858,14
2931586,23
2935509,28
2935665,28
2936445,13
2938168,43
2939605,1
2940335,"13,27,45"
2943888,12
2944181,40
2944185,13
2944667,40
2945861,46
2946425,"14,13"
2946459,"44,40,45,43"
2947350,34
2947451,24
2947859,40
2948569,"37,39"
2949367,26
2949507,34
2951180,3
2952029,13
2953321,13
2954695,12
2956094,13
2956617,34
2956791,10
2958669,27
2959700,40
2959953,11
2960375,11
2963617,21
2964128,23
2964391,26
2964825,12
2966429,7
2967054,44
2967543,10
2968018,1
2968803,27
2969246,13
2969636,47
2969748,26
2969771,"43,42"
2969993,47
2970017,9
2970634,14
2970770,13
2971206,44
2971429,35
2973665,40
2973958,15
2974455,7
2974784,"23,17"
2975459,20
2975515,27
2975968,13
2976013,11
2976455,10
2977248,15
2977386,15
2977455,43
2977575,33
2977671,17
2978125,19
2978140,23
2978934,"11,13"
2979262,"14,13"
2979371,40
2981080,11
2981494,47
2982015,13
2982187,14
2982230,1
2982517,14
2982528,42
2982974,13
2982977,39
2983221,22
2983326,23
2983654,22
2983692,4
2984005,27
2984298,11
2984471,14
2984532,27
2985260,14
2985810,3
2986047,44
2986150,28
2986244,45
2986449,11
2986583,4
2986789,20
2986937,"13,14"
2987315,14
2987459,37
2988599,28
2988728,12
2988934,"11,12,13"
2989395,4
2989476,29
2989641,9
2989712,40
2989715,13
2989741,23
2989745,13
2989788,9
2989817,22
2989823,13
2989961,28
2989994,34
2990032,11
2990033,14
2990069,13
2990216,1
2990239,34
2990250,40
2990453,"14,11,28,27,12,13,26"
2990538,46
2990540,27
2990549,28
2990697,39
2990709,23
2990813,13
2990822,13
2990927,5
2990932,20
2991042,22
2991184,11
2991233,23
2991249,14
2991298,4
2991363,23
2991440,13
2991442,13
2991486,12
2991618,1
2991662,20
2991690,45
2991730,27
2991744,13
2991778,13
2991803,12
2991817,13
2991851,13
2991872,45
2991884,27
2991930,13
2991950,27
2992014,23
2992047,14
2992055,13
2992059,27
2992163,13
2992172,13
2992179,27
2992201,26
2992226,42
2992279,23
2992288,27
2992307,13
2992314,27
2992328,13
2992354,47
2992366,21
2992424,14
2992425,15
2992480,22
2992499,24
2992581,32
2992619,13
2992678,40
2992770,33
2992943,27
2992975,27
2993015,12
2993063,43
2993075,36
2993078,47
2993113,27
2993186,23
2993251,13
2993415,7
2993459,13
2993518,26
2993524,13
2993650,23
2993728,1
2993737,38
2993790,13
2993810,45
2993814,12
2993815,13
2993903,40
2993960,13
2994026,4
2994035,13
2994075,15
2994117,13
2994118,13
2994276,13
2994291,40
2994340,34
2994352,13
2994367,13
2994486,40
2994493,40
2994545,13
2994644,13
2994712,23
2994715,29
2994727,27
2994811,13
2994899,13
2995091,12
2995143,33
2995182,14
2995246,29
2995258,11
2995261,27
2995266,27
2995276,13
2995337,27
2995344,4
2995376,7
2995442,27
2995466,43
2995544,24
2995553,13
2995617,15
2995628,23
2995700,14
2995709,13
2995757,27
2995774,13
2995859,3
2995909,20
2995959,23
2995973,40
2996022,16
2996103,13
2996170,4
2996231,28
2996260,14
2996265,14
2996325,23
2996377,13
2996463,40
2996517,1
2996586,47
2996659,27
2996730,14
2996914,21
2996963,13
2996985,13
2997020,13
2997067,13
2997155,23
2997259,16
2997419,1
2997449,27
2997472,13
2997474,13
2997522,25
45215,43
62792,1
92924,"13,14"
131170,1
190852,16
221462,"31,12,43,19,47,3,35,7,39,16,10,46,22,17,21,2,34,6,38,23,20,9,45,26,30,28,11,42,18,15,25,5,37,24,1,33,14,41,32,29,13,40,27,4,36,8,44"
226149,13
235610,"27,13,12,11,14,28,26"
259161,13
271619,"45,44,40,43"
365226,4
378348,"21,23"
452963,"14,13"
501582,27
517472,6
581270,12
585087,"27,26,29"
636605,7
638018,"26,27"
640129,"12,13"
655559,"14,13"
716923,"14,13,11"
717565,23
735077,23
752988,30
758131,40
826259,14
829185,"11,21,14,13,24,23,12"
847058,"40,41"
868043,4
889152,"14,13,11"
905586,13
910382,4
927782,"13,12,11"
951230,37
953251,20
1053183,"13,47"
1126569,23
1128248,"15,7,4"
1162020,"11,13"
1164187,12
1166831,13
1176686,13
1199683,23
1245715,14
1263530,"13,14"
1274289,"40,42"
1285109,"27,28"
1292175,22
1304008,5
1323507,15
1334871,"13,14"
1352799,"14,13"
1369530,1
1386063,"13,11"
1453516,"24,23,22,21"
1467817,1
1588709,21
1594768,43
1682035,13
1706249,"11,8,9"
1707445,"13,14"
1708372,7
1721328,"12,8,11,10,22,19,9,13,14"
1734157,"11,13"
1743779,"27,28"
1744300,45
1778833,4
1797464,"11,13"
1819429,20
1827132,12
1829113,"29,27"
1829344,"13,12,11,8"
1848941,13
1857358,14
1876165,"11,13"
1907861,"14,13"
1963327,22
2002372,"13,9"
2036535,"44,40,36"
2052364,10
2112554,11
2122617,13
2164205,16
2176497,"11,13"
2183693,"14,13"
2184942,"14,13"
2192528,13
2201513,"13,47"
2228132,15
2237263,1
2253943,14
2258366,27
2260557,2
2270589,12
2273892,22
2283827,13
2299579,12
2305259,13
2312641,13
2324369,11
2325355,27
2329555,1
2329888,40
2332888,13
2340717,13
2343198,13
2359227,13
2361855,23
2375335,20
2376918,4
2390665,13
2402086,32
2403463,23
2416855,13
2425787,13
2462206,40
2463797,47
2464020,42
2469708,11
2484635,13
2485827,4
2507003,13
2513366,23
2523204,27
2523716,34
2525802,23
2527828,"12,13"
2528260,"12,13"
2530605,14
2539079,"14,13,11"
2553380,13
2560596,22
2562439,13
2562864,38
2567684,45
2569609,13
2575512,"13,11"
2576536,13
2578134,3
2585291,13
2595399,27
2601977,13
2609401,36
2610269,15
2612785,32
2625451,47
2626713,27
2643373,14
2645183,24
2646417,23
2652527,11
2652730,14
2657015,13
2664639,28
2670611,1
2673548,22
2680661,13
2683972,13
2685016,"8,7"
2686382,47
2687430,13
2693598,13
2694677,9
2701656,5
2702119,27
2707079,13
2714791,23
2715171,13
2718304,36
