work_id,company_id,age_upper,work_gender,salary,salary_system,salary_options
10430,206,35,female,18.0,salary,bonus
11288,418,39,both,28.7700004577637,salary,bonus
21560,418,39,both,28.7700004577637,salary,bonus
12105,418,39,both,28.7700004577637,salary,bonus
83639,492,35,both,19.7999992370605,salary,bonus
86962,492,35,both,19.7999992370605,salary,bonus
73473,661,50,male,22.0,salary,bonus
11383,661,45,both,22.0,salary,bonus
11476,718,35,both,40.0,salary,
11796,927,50,both,20.0,salary,bonus
12455,1322,39,both,480.0,annual,
14539,2220,45,both,27.2999992370605,salary,bonus
14419,2713,35,both,23.0,salary,bonus
14707,2904,40,both,24.0,salary,
18297,2912,35,both,25.0,salary,bonus
14918,2912,35,both,25.0,salary,bonus
14729,2912,39,both,25.0,salary,bonus
41450,2912,40,both,25.0,salary,bonus
43501,2912,35,both,25.0,salary,bonus
20721,2912,35,both,25.0,salary,bonus
17780,2912,35,both,25.0,salary,bonus
16470,3905,45,both,20.0,salary,bonus
77021,3905,39,male,20.0,salary,bonus
61288,4432,45,both,23.0,salary,bonus
17137,4432,45,both,23.0,salary,bonus
17735,4753,26,both,21.0,salary,bonus
18832,5404,35,both,25.0,salary,bonus
18831,5404,35,both,25.0,salary,bonus
55852,5682,45,both,25.5,salary,commission
19134,5682,39,both,25.5,salary,bonus
19578,5803,36,male,24.0,salary,bonus
85879,5803,35,male,24.0,salary,bonus
19812,5960,35,both,20.0,salary,bonus
21423,6769,50,both,16.5,salary,bonus
50778,6769,44,both,37.0,salary,bonus
100247,6769,44,both,20.5,salary,bonus
60688,6769,50,both,16.5,salary,bonus
50777,6769,44,both,37.0,salary,bonus
50780,6769,45,both,30.0,salary,bonus
50771,6769,50,both,17.0,salary,bonus
21817,7200,45,both,30.0,salary,bonus
22044,7352,45,both,25.0,salary,bonus
22361,7456,40,female,240.0,annual,
91521,7627,49,both,18.0,salary,bonus
23528,7989,40,both,240.0,annual,
88828,8366,30,both,16.0,salary,bonus
88829,8366,30,both,18.0,salary,bonus
24368,8518,39,both,18.0,salary,bonus
86509,8809,35,both,19.9099998474121,salary,
85298,8809,35,both,19.3600006103516,salary,
25594,9249,35,both,27.0,salary,bonus
25662,9249,39,both,24.0,salary,bonus
56870,10206,45,male,35.0,salary,bonus
74300,10206,35,both,276.0,annual,bonus
74327,10206,50,female,20.0,salary,
57093,10206,70,both,40.0,salary,
26800,10860,65,both,22.0,salary,bonus
26992,11086,35,both,20.0,salary,
28631,11528,40,both,18.0,salary,bonus
92191,11551,40,male,18.0,salary,bonus
34637,11861,35,both,21.0,salary,bonus
34367,11861,35,both,21.0,salary,bonus
28691,11994,35,both,20.0,salary,bonus
91321,11994,50,both,20.0,salary,
33013,13136,40,female,18.0,salary,bonus
34490,13616,40,male,20.0,salary,bonus
34065,13616,39,male,22.0,salary,bonus
87320,13952,45,both,26.0,salary,
87151,13952,40,both,23.0,salary,
83510,13952,49,female,21.6000003814697,salary,
83324,13952,46,female,17.6000003814697,salary,
83656,13952,39,female,21.1000003814697,salary,
87141,13952,40,male,22.3999996185303,salary,
82605,13952,45,female,20.2999992370605,salary,
82853,13952,50,both,22.3999996185303,salary,
93422,13952,40,both,24.0,salary,
89758,13952,50,both,14.3999996185303,salary,
86167,13952,50,both,14.8000001907349,salary,
93017,13952,46,both,23.2000007629395,salary,
101733,13952,50,female,24.0,salary,
89207,13952,45,female,22.8999996185303,salary,
92475,13952,45,female,18.0,salary,
82863,13952,50,both,24.0,salary,
82851,13952,50,female,21.0,salary,
83497,13952,39,female,19.0,salary,
82854,13952,40,both,22.5,salary,
83810,13952,46,female,20.2000007629395,salary,
84740,13952,46,female,18.7000007629395,salary,
88647,13952,40,both,21.7000007629395,salary,
83546,13952,45,female,19.2999992370605,salary,
93292,13952,40,female,17.6000003814697,salary,bonus
91878,13952,37,both,25.0,salary,
82856,13952,50,both,16.7999992370605,salary,
35845,14053,65,both,24.0,salary,bonus
36145,14138,60,female,17.5,salary,
36323,14213,35,male,22.0,salary,bonus
40404,14889,30,both,25.0,salary,bonus
40425,14889,30,both,20.0,salary,bonus
43736,15846,40,both,24.0,salary,bonus
45285,16111,45,both,18.5,salary,bonus
45167,16111,45,both,18.5,salary,bonus
84033,17325,40,female,20.5100002288818,salary,bonus
84127,17325,40,both,20.5100002288818,salary,bonus
52492,17486,30,both,22.0,salary,
99070,17904,29,both,21.0,salary,bonus
98216,17904,30,female,16.0,salary,
66910,18224,50,both,18.0,salary,bonus
53211,18224,45,male,20.0,salary,bonus
55940,18636,40,both,18.1000003814697,salary,bonus
66399,18636,40,both,18.1000003814697,salary,"commission,bonus"
58728,19438,40,male,20.0,salary,bonus
56692,18878,30,both,19.5,salary,bonus
59834,19598,60,both,16.0,salary,bonus
61766,19623,35,both,23.0,salary,bonus
59917,19623,45,male,22.7000007629395,salary,bonus
61313,19952,60,both,14.9200000762939,salary,bonus
63070,20228,44,both,15.0,salary,
63071,20228,45,both,16.0,salary,
95103,20228,44,both,17.0,salary,
63872,20450,40,both,23.5,salary,bonus
63649,20450,40,both,23.5,salary,bonus
64231,20501,65,both,14.0,salary,bonus
64299,20501,60,both,17.0,salary,
65494,20801,49,male,31.0,salary,bonus
65372,20776,55,male,20.0,salary,bonus
66528,21029,38,both,19.2000007629395,salary,bonus
67161,20966,45,both,15.0,salary,bonus
67160,20966,45,both,17.5,salary,bonus
99331,20966,59,both,17.0,salary,bonus
99328,20966,59,both,17.0,salary,bonus
101192,20966,45,both,17.5,salary,bonus
99420,20966,59,both,17.0,salary,bonus
69273,21537,40,male,30.0,salary,
69160,21524,60,both,20.0,salary,bonus
69366,21536,45,both,21.1000003814697,salary,bonus
81316,21536,45,both,21.1000003814697,salary,bonus
69170,21562,60,both,22.0,salary,bonus
69171,21562,60,both,22.0,salary,bonus
70890,21963,50,both,17.1399993896484,salary,bonus
70889,21963,50,both,15.3800001144409,salary,bonus
75797,22166,45,male,350.0,annual,bonus
79118,22166,45,male,21.0,salary,bonus
71564,22166,45,male,21.0,salary,bonus
71792,21989,35,male,19.3999996185303,salary,
71791,21989,35,male,19.3999996185303,salary,
82475,21989,35,male,19.3999996185303,salary,
82147,21989,35,male,19.3999996185303,salary,
72082,22313,39,both,20.0,salary,bonus
72503,22294,99,both,16.0,salary,bonus
72272,22294,50,male,16.0,salary,bonus
72271,22294,35,both,16.0,salary,bonus
100885,22294,39,male,17.6000003814697,salary,bonus
72383,22348,50,both,18.0,salary,
82337,22703,59,both,25.0,salary,
82336,22703,59,both,25.0,salary,
82338,22703,59,both,300.0,annual,
73603,22919,40,both,29.6000003814697,salary,bonus
73663,23016,40,male,21.0,salary,bonus
75179,23441,50,both,13.75,salary,bonus
75177,23441,35,both,22.5,salary,bonus
75383,23520,39,both,28.0,salary,bonus
75427,23681,55,both,18.2000007629395,salary,commission
75366,23575,60,both,450.0,annual,
76105,24016,40,both,23.5,salary,bonus
76106,24016,40,both,23.5,salary,bonus
75749,23807,49,male,28.5,salary,
76208,24046,55,both,16.7999992370605,salary,bonus
76659,24026,99,both,440.0,annual,bonus
76816,24107,50,both,17.0,salary,bonus
76815,24107,49,both,26.5,salary,bonus
76818,24107,50,both,21.0,salary,bonus
76817,24107,49,both,13.5,salary,bonus
78307,24904,34,male,22.0,salary,
78424,24890,50,both,26.0,salary,bonus
78785,24890,50,male,26.0,salary,bonus
79578,25336,40,both,33.0,salary,"commission,bonus"
79579,25336,40,both,26.0,salary,"commission,bonus"
81322,25336,40,male,26.0,salary,bonus
79469,25269,99,both,25.0,salary,bonus
91597,25489,30,both,21.0,salary,bonus
83588,25489,40,both,24.0,salary,bonus
80239,25499,39,both,20.0,salary,
81151,25499,40,both,25.0,salary,
81033,25614,70,both,30.0,salary,bonus
81096,25644,40,both,23.1000003814697,salary,bonus
83310,25971,40,both,22.0,salary,bonus
83317,25971,40,both,22.0,salary,bonus
83319,25971,40,both,22.0,salary,bonus
83248,25971,35,both,23.0,salary,
84512,26307,40,both,20.0,salary,bonus
85699,26788,43,both,22.0,salary,commission
85850,26836,35,both,22.3999996185303,salary,bonus
85935,26845,45,both,18.0,salary,bonus
99911,26845,45,both,25.0,salary,bonus
91239,26855,50,both,36.0,salary,bonus
86144,26855,30,both,22.0,salary,bonus
86143,26855,29,female,21.0,salary,bonus
86911,26980,45,both,30.0,salary,bonus
96280,27009,35,both,14.6899995803833,salary,bonus
95066,27009,35,both,17.5,salary,bonus
87164,27065,55,male,21.5,salary,bonus
87163,27065,55,male,21.5,salary,bonus
87683,27145,40,both,20.0,salary,bonus
99821,27167,65,both,17.5,salary,bonus
101647,27167,60,both,18.0,salary,bonus
100450,27167,40,both,18.0,salary,bonus
99695,27167,45,both,18.0,salary,bonus
101654,27167,60,both,30.0,salary,bonus
99819,27167,65,both,20.0,salary,bonus
89720,27535,35,both,21.0300006866455,salary,bonus
89719,27535,40,both,18.2099990844727,salary,bonus
90073,27638,39,both,25.0,salary,"commission,bonus"
90234,27688,40,both,18.1000003814697,salary,bonus
90524,27733,45,both,25.0,salary,
90901,27781,45,both,25.0,salary,bonus
91993,28123,34,male,21.1000003814697,salary,bonus
95398,28630,54,male,399.600006103516,annual,bonus
96765,28788,50,both,15.5,salary,bonus
98959,29095,34,both,23.0,salary,bonus
98953,29095,35,both,19.5,salary,bonus
98934,29099,45,both,30.0,salary,bonus
98939,29099,45,both,30.0,salary,bonus
100505,29182,45,both,250.001007080078,annual,
99700,29186,29,female,16.6000003814697,salary,bonus
100094,29239,35,both,19.0,salary,bonus
