work_id,occupation_id2
10143,37
10160,1
10179,1
10199,216
10216,50
10238,1
10271,16
10325,14
10344,293
10358,40
10376,46
10396,26
10418,153
10452,46
10468,1
10486,346
10518,96
10536,50
10575,95
10596,50
11223,1
11263,297
11305,1
11318,8
11336,50
11356,1
11376,14
11407,357
11444,112
11458,95
11496,328
11559,192
11577,159
11597,380
11631,1
11671,289
11690,179
11709,1
11723,316
12318,1
12350,1
12377,1
12397,99
12430,346
12446,18
12474,167
12522,1
12541,2
12557,140
12591,153
12609,82
12627,11
12678,8
12695,192
12708,48
12724,336
12743,99
12758,155
12772,1
12804,153
13358,99
13376,50
13395,1
13427,35
13477,14
13511,367
13527,153
13547,325
13567,153
13585,1
13612,167
13627,13
13673,162
13693,166
13715,323
13751,154
13784,1
13797,82
13815,1
14315,13
14346,31
14378,112
14426,3
14490,40
14523,40
14538,1
14552,99
14599,2
14627,152
14655,112
14667,154
14704,185
14720,158
14750,170
15227,160
15240,185
15269,152
15283,48
15297,317
15315,167
15337,173
15379,27
15409,2
15433,154
15447,173
15467,170
15483,35
15497,17
15513,29
15529,170
15557,159
15574,156
15605,14
15619,18
15633,296
15662,2
16173,2
16189,156
16213,95
16224,63
16239,1
16281,219
16297,2
16323,152
16340,2
16356,319
16371,1
16404,153
16418,20
16433,82
16445,222
16458,289
16472,167
16495,183
16981,170
16995,1
17012,14
17036,63
17049,4
17084,31
17140,1
17179,153
17193,2
17216,1
17229,19
17257,1
17271,16
17285,152
17299,49
17338,183
17711,142
17721,1
17732,27
17763,2
17772,14
17783,14
17793,170
17848,152
17858,146
17901,153
17922,2
17955,217
17975,345
17997,152
18007,143
18341,2
18363,2
18373,334
18384,4
18395,47
18406,37
18416,31
18448,332
18459,28
18491,156
18523,21
18534,63
18555,217
18576,222
18587,152
18608,40
18640,63
18652,243
18989,310
19010,1
19021,12
19042,153
19080,342
19102,31
19112,153
19123,224
19134,214
19144,113
19196,40
19206,296
19217,210
19228,14
19238,296
19270,40
19281,50
19292,1
19302,172
19323,1
19666,167
19688,301
19710,27
19720,168
19752,156
19763,95
19774,50
19784,266
19805,166
19816,170
19837,1
19848,5
19869,46
19881,1
19905,214
19931,1
19942,152
19952,340
19976,154
20345,152
20357,358
20396,42
20411,20
20426,61
20439,1
20451,153
20476,174
20489,174
20501,152
20512,249
20539,17
20549,360
20561,153
20572,95
20582,334
20595,63
20621,367
20647,18
20660,156
20675,18
20703,174
21135,344
21172,207
