member_id,user_pref_id
22032,13
45994,19
56120,25
66990,23
67066,27
75507,13
94977,33
114107,12
133145,28
142500,22
143836,15
145864,13
167618,47
174284,3
172453,16
183264,34
188434,46
197574,44
156235,10
156235,46
105396,40
230069,10
258702,14
261874,25
278172,39
267313,27
275845,31
295071,13
304531,45
307533,13
316600,22
317127,40
299773,14
149135,13
311674,24
330459,18
334925,11
341227,27
350689,11
350689,42
355999,30
360694,13
367757,47
372256,40
373229,23
358013,11
369096,28
398062,11
380881,11
392313,21
401529,27
415925,43
422523,13
403179,23
380800,13
428268,26
434508,26
147089,11
444968,29
449396,23
449728,23
298932,24
344396,28
456765,27
466447,38
463266,13
483090,28
489703,20
482498,38
511084,43
516674,36
534632,3
534632,35
530337,13
541006,26
547353,23
524614,9
561307,14
566018,5
566018,37
570638,18
562800,14
86357,11
572790,41
218741,30
590009,43
532297,13
590409,10
591403,28
601445,34
185691,13
598365,24
609405,14
612994,24
614349,45
615258,7
617106,26
627013,31
640058,11
618631,28
647873,14
280060,13
313978,27
658138,21
657397,12
142217,27
641616,15
671553,14
678484,14
683798,40
685041,14
678069,13
682989,9
685984,22
702510,21
709326,29
701826,24
716698,40
720770,28
704119,23
727183,15
369380,11
730811,30
733633,11
715873,13
435446,13
724055,15
730708,14
730811,14
731894,9
739306,41
744958,26
740667,4
638548,27
744762,45
703662,31
782948,26
765491,11
782000,11
788777,14
804282,11
817789,24
819246,1
821885,13
829132,21
823520,27
833916,13
842385,13
846825,36
861156,10
861156,42
861533,13
843093,13
853387,13
866760,27
865949,14
673944,9
890493,13
891349,27
646110,11
868402,13
809683,5
619297,13
880190,13
348612,13
858822,11
885023,27
801145,13
892126,15
340869,7
900737,31
915546,42
918855,23
920757,40
921117,23
180992,12
941336,40
922018,34
555430,11
828613,23
931610,26
942199,11
946638,6
950556,13
87620,13
956109,13
959591,13
636075,26
942439,13
954208,33
320001,13
968661,14
970963,14
976333,39
161086,36
963300,13
559211,13
986843,9
89342,12
980202,32
275956,13
1023043,11
1003969,23
856355,5
856355,37
1021563,14
870139,23
1028842,29
1029230,14
640132,7
927466,13
1036921,13
1044881,13
1045569,29
1060062,13
578050,28
1075016,23
1075424,2
1075424,34
13220,12
1068139,21
1068777,13
1054108,8
1077833,12
1082441,12
1074673,26
1088360,34
1090377,42
712729,9
1106835,14
1110434,13
114438,14
1100164,33
1101049,13
1101377,2
1092599,26
1111427,28
957626,24
1123614,9
1124730,36
1131972,40
1128478,18
1123854,8
1128248,4
1142411,24
1142948,23
1153732,21
1136543,11
1140104,14
1151337,13
1170340,27
1177617,33
1177969,14
1181115,13
1171292,40
1175689,11
1175594,27
1175798,15
1175798,47
130047,16
1192455,27
1212701,29
1214984,42
1219504,13
1220100,41
1201357,23
1201527,14
957805,23
701859,13
1213571,13
1134394,21
1221183,12
1217155,13
1222588,13
1225904,13
1235496,13
1242482,13
1193682,13
1249031,17
1232313,11
1223898,10
1235714,27
1250527,29
1251055,27
972975,26
1264651,4
1270100,28
1258534,12
1273609,10
1257751,5
1005993,11
1260438,21
1279834,36
1264480,13
1290700,20
1298372,12
1302597,13
1308081,30
1310573,21
1283055,12
1284972,27
1289984,12
1293752,14
1303440,7
1296022,14
1307231,13
1311121,13
1329846,31
1331643,12
1333697,23
1333851,40
1348768,25
1315305,33
1323583,7
1330511,28
1330557,3
1332485,39
1333116,15
1334673,13
96522,26
1337503,25
1341228,11
1342685,28
1346262,21
1347950,10
1359027,37
1368781,40
1371197,24
1371316,11
1373039,27
1376707,47
1352977,13
1358433,26
1367991,29
1379360,13
1408283,1
1409735,29
1409968,25
1411975,21
1413779,27
1389193,10
1392987,45
1372319,15
1397283,26
1400155,28
1402417,34
1405553,14
1396489,46
1407085,27
1408924,13
1411205,23
1412702,11
1416423,15
1426519,14
1432904,23
1444115,12
1449326,11
1449771,14
1418704,12
1418704,44
1426208,14
1448471,2
1450117,12
1453004,24
1453226,34
1453184,43
1458546,15
1466579,10
1467736,28
1478468,28
1481855,26
1410240,17
1462368,13
1462505,28
1465962,12
1469011,15
1454803,24
1475330,8
1476919,13
1409883,40
1481855,45
1482158,20
1474747,12
1257751,9
1494123,14
1496010,12
1507427,11
1485440,20
1487061,17
1488309,34
1500203,8
1503378,2
1506306,13
1510874,11
1519548,23
1523757,27
1528341,43
1529469,22
1531097,1
1521042,11
1363689,21
1515702,35
1523151,1
1524937,29
1473571,14
1526474,31
1529919,23
1537658,23
1539532,14
1539922,43
1543064,14
1459779,27
1548914,21
1550002,46
340650,14
1551859,27
1554271,22
1557475,13
1565274,30
1517342,26
1559810,42
1573164,13
1576312,25
1576650,11
1583085,14
1588673,27
1593315,40
1569490,13
1575451,26
1595718,14
1601679,12
1602568,7
1604684,13
1605708,11
1607352,14
1611110,29
1621135,29
1595785,12
1598888,11
1150420,21
1608205,24
1610204,21
1613459,15
1620146,22
1620420,5
1620559,25
1621883,13
1630418,28
1577142,27
1637540,13
1637974,27
1642945,9
1650604,13
1653543,11
1628276,12
1630184,14
1635290,13
1636674,13
1636748,27
1641717,28
1643631,12
1645030,13
1663783,3
1663861,11
1523766,28
1672977,29
1676058,40
1679706,28
1543815,23
1665711,33
1666395,4
1670818,17
1675450,34
1675662,12
1678677,4
1681154,33
1684425,36
1687028,35
1688285,14
245649,12
1696242,16
1700361,46
1703606,15
1703606,47
1703796,40
1713170,34
1693973,23
1695144,13
1316575,13
1698593,1
1698648,2
1707337,34
1711243,8
1719642,13
